,address,city_district,geo_lat,geo_lon
2513,"город Москва, улица Героев Панфиловцев, дом 35, корпус 2",Северное Тушино,55.8549391,37.413297
2514,"город Москва, Врачебный проезд, дом 12",Покровское-Стрешнево,55.813596,37.4588852
2515,"город Москва, Туристская улица, дом 16, корпус 2",Северное Тушино,55.8546952,37.4241566
2516,"город Москва, улица Вилиса Лациса, дом 11, корпус 2",Северное Тушино,55.8624789,37.4270417
2517,"город Москва, бульвар Яна Райниса, дом 4, корпус 2",Северное Тушино,55.852364,37.430319
2518,"город Москва, улица Свободы, дом 81, корпус 1",Северное Тушино,55.8619538,37.445364
2519,"город Москва, улица Свободы, дом 81, корпус 6",Северное Тушино,55.8626922,37.4418745
2520,"город Москва, улица Фомичёвой, дом 1, корпус 1",Северное Тушино,55.8575346,37.4468846
2521,"город Москва, Туристская улица, дом 14, корпус 6",Северное Тушино,55.8524891,37.4263077
2522,"город Москва, Волоколамское шоссе, дом 112",,,
2523,"город Москва, бульвар Яна Райниса, дом 43, корпус 2",Южное Тушино,55.8488016,37.4101003
2524,"город Москва, Тушинская улица, дом 2",,,
2525,"город Москва, Хорошёвское шоссе, дом 3",,,
2526,"город Москва, Хорошёвское шоссе, дом 35, корпус 1",Хорошевский,55.7775065,37.5216985
2527,"город Москва, улица Розанова, дом 4",,,
2528,"город Москва, улица Бестужевых, дом 10А",Отрадное,55.8691057,37.606478
2529,"город Москва, Ясный проезд, дом 24А",Южное Медведково,55.8759482,37.623932
2530,"город Москва, Мурановская улица, дом 10А, строение 1",Бибирево,55.8938551,37.6045809
2531,"город Москва, Шенкурский проезд, дом 8А",,,
2532,"город Москва, улица Грекова, дом 20",Северное Медведково,55.8911762,37.664059
2533,"город Москва, 3-й Стрелецкий проезд, дом 3",,,
2534,"город Москва, Октябрьский переулок, дом 11",Марьина роща,55.7865443,37.6099369
2535,"город Москва, улица Грекова, дом 11А",Северное Медведково,55.8908507,37.6574834
2536,"город Москва, улица Тихомирова, дом 10",,,
2537,"город Москва, улица Тихомирова, дом 6",Северное Медведково,55.8835393,37.6481899
2538,"город Москва, улица Пестеля, дом 5",Отрадное,55.8644191,37.6135062
2539,"город Москва, Ботаническая улица, дом 21",,,
2540,"город Москва, улица Яблочкова, дом 5, строение 1",Бутырский,55.8158094,37.5812374
2541,"город Москва, улица Милашенкова, дом 7А",Бутырский,55.8229571,37.583228
2542,"город Москва, Широкая улица, дом 21А",Северное Медведково,55.8894284,37.6709006
2543,"город Москва, Сухонская улица, дом 3",,,
2544,"город Москва, Алтуфьевское шоссе, дом 12, корпус 1",Отрадное,55.8549852,37.5884158
2545,"город Москва, улица Конёнкова, дом 10А",Бибирево,55.8909003,37.6126683
2546,"город Москва, Северный бульвар, дом 4А",Отрадное,55.8652495,37.6100475
2547,"город Москва, улица Лескова, дом 8А",Бибирево,55.8963438,37.5960053
2548,"город Москва, Алтуфьевское шоссе, дом 94",Бибирево,55.9014697,37.5904284
2549,"город Москва, улица Плещеева, дом 26А",Бибирево,55.8890877,37.6191811
2550,"город Москва, Алтуфьевское шоссе, дом 30А",Отрадное,55.8659143,37.587526
2551,"город Москва, Алтуфьевское шоссе, дом 24А",Отрадное,55.8618383,37.5873582
2552,"город Москва, улица Санникова, дом 3, корпус 3",Отрадное,55.8594731,37.5928623
2553,"город Москва, улица Грекова, дом 3, корпус 1",Северное Медведково,55.8846705,37.6594552
2554,"город Москва, Костромская улица, дом 14Г, строение 1",Алтуфьевский,55.8842002,37.5957634
2555,"город Москва, Белозерская улица, дом 13",Бибирево,55.8972307,37.6162945
2556,"город Москва, Заповедная улица, дом 22",Южное Медведково,55.867441,37.6426386
2557,"город Москва, Мурановская улица, дом 4А",Бибирево,55.8910361,37.6016312
2558,"город Москва, улица Декабристов, дом 8, корпус 4",Отрадное,55.8633016,37.596383
2559,"город Москва, Шенкурский проезд, дом 15",Бибирево,55.8959981,37.5893826
2560,"город Москва, улица Конёнкова, дом 8А",Бибирево,55.8895555,37.6102295
2561,"город Москва, Шенкурский проезд, дом 4А",Бибирево,55.8913911,37.593125
2562,"город Москва, проезд Шокальского, дом 11, корпус 2",Южное Медведково,55.8749644,37.6428123
2563,"город Москва, улица Добролюбова, дом 14",,,
2564,"город Москва, Большая Новодмитровская улица, дом 63",Бутырский,55.8051999,37.5838856
2565,"город Москва, Шенкурский проезд, дом 5",Бибирево,55.8928284,37.5901999
2566,"город Москва, улица Плещеева, дом 8А",Бибирево,55.8842637,37.6094812
2567,"город Москва, улица Пестеля, дом 9А",Отрадное,55.8656211,37.6119133
2568,"город Москва, Алтуфьевское шоссе, дом 60Г",Алтуфьевский,55.8830777,37.5926562
2569,"город Москва, улица Короленко, дом 3А",,,
2570,"город Москва, Попов проезд, дом 2",,,
2571,"город Москва, Верхняя Красносельская улица, дом 7, строение 2",Красносельский,55.7849945,37.6611448
2572,"город Москва, 1-я Боевская улица, дом 6",,,
2573,"город Москва, улица Сокольнический Вал, дом 1Б",,,
2574,"город Москва, Русаковская улица, дом 10, строение 1",Красносельский,55.7827508,37.6741332
2575,"город Москва, проспект Академика Сахарова, дом 12",,,
2576,"город Москва, Орликов переулок, дом 3, строение 1",Красносельский,55.7707108,37.6474881
2577,"город Москва, Мясницкая улица, дом 47",,,
2578,"город Москва, улица Короленко, дом 2А, строение 1",Сокольники,55.7985546,37.6870035
2579,"город Москва, Орликов переулок, дом 3Б",Красносельский,55.7714566,37.6469804
2580,"город Москва, Орликов переулок, дом 5, строение 2",Красносельский,55.7725506,37.6497751
2581,"город Москва, Каланчёвская улица, дом 15А",Красносельский,55.7714851,37.6515503
2582,"город Москва, Уссурийская улица, дом 12",,,
2583,"город Москва, 2-я Пугачёвская улица, дом 10",,,
2584,"город Москва, Амурская улица, дом 6",,,
2585,"город Москва, Халтуринская улица, дом 16",Преображенское,55.8037894,37.7274527
2586,"город Москва, Открытое шоссе, дом 23А",,,
2587,"город Москва, Щёлковское шоссе, дом 79А",,,
2588,"город Москва, Амурская улица, дом 60",Гольяново,55.8122416,37.7894186
2589,"город Москва, 2-я улица Бухвостова, дом 6",Преображенское,,
2590,"город Москва, Уральская улица, дом 19",,,
