,NAME,NAME_AO,ABBREV_AO
117,Лефортово,Юго-Восточный,ЮВАО
118,Орехово-Борисово Северное,Южный,ЮАО
119,Лосиноостровский,Северо-Восточный,СВАО
120,Нижегородский,Юго-Восточный,ЮВАО
121,Перово,Восточный,ВАО
122,Орехово-Борисово Южное,Южный,ЮАО
123,Марьино,Юго-Восточный,ЮВАО
124,Вешняки,Восточный,ВАО
125,Преображенское,Восточный,ВАО
126,Соколиная Гора,Восточный,ВАО
127,Люблино,Юго-Восточный,ЮВАО
128,Текстильщики,Юго-Восточный,ЮВАО
129,Братеево,Южный,ЮАО
130,Зябликово,Южный,ЮАО
131,Рязанский,Юго-Восточный,ЮВАО
132,Измайлово,Восточный,ВАО
133,Новогиреево,Восточный,ВАО
134,Кузьминки,Юго-Восточный,ЮВАО
135,Гольяново,Восточный,ВАО
136,Северное Измайлово,Восточный,ВАО
137,Капотня,Юго-Восточный,ЮВАО
138,Выхино-Жулебино,Юго-Восточный,ЮВАО
139,Восточный,Восточный,ВАО
140,Восточное Измайлово,Восточный,ВАО
141,Ивановское,Восточный,ВАО
142,Косино-Ухтомский,Восточный,ВАО
143,Новокосино,Восточный,ВАО
144,Некрасовка,Юго-Восточный,ЮВАО
145,Кунцево,Западный,ЗАО
