,address,city_area,city_district,geo_lat,geo_lon,street_with_type,location
3172,"город Москва, Косинская улица, дом 24А",,Косино-Ухтомский,,,ул Косинская,Косино-Ухтомский
3173,"город Москва, Муромская улица, дом 1",,Косино-Ухтомский,,,ул Муромская,Косино-Ухтомский
3174,"город Москва, 3-я Владимирская улица, дом 26А",Восточный,Перово,55.7549399,37.7863514,ул Владимирская 3-я,
3175,"город Москва, 3-я Владимирская улица, дом 5",,Перово,,,ул Владимирская 3-я,Перово
3176,"город Москва, улица Плющева, дом 14А",Восточный,Перово,55.7429937,37.7594548,ул Плющева,
3177,"город Москва, Новогиреевская улица, дом 22А",Восточный,Перово,55.7572134,37.7928502,ул Новогиреевская,
3178,"город Москва, Снайперская улица, дом 11А",Восточный,Вешняки,55.7197373,37.8143708,ул Снайперская,
3179,"город Москва, Фрязевская улица, дом 7",,Новогиреево,,,ул Фрязевская,Новогиреево
3180,"город Москва, Фрязевская улица, дом 5",,Новогиреево,,,ул Фрязевская,Новогиреево
3181,"город Москва, Утренняя улица, дом 12",Восточный,Новогиреево,55.7474082,37.7928296,ул Утренняя,
3182,"город Москва, Федеративный проспект, дом 1А",,Перово,,,Федеративный пр-кт,Перово
3183,"город Москва, Кетчерская улица, дом 8А",Восточный,Вешняки,55.7426421,37.8254518,ул Кетчерская,
3184,"город Москва, улица Сталеваров, дом 16А",Восточный,Ивановское,55.7570569,37.837901,ул Сталеваров,
3185,"город Москва, улица Молдагуловой, дом 13А",Восточный,Вешняки,55.7210577,37.8296693,ул Молдагуловой,
3186,"город Москва, улица Красный Казанец, дом 3А",Восточный,Вешняки,55.724463,37.8061364,ул Красный Казанец,
3187,"город Москва, Косинская улица, дом 28А",,Вешняки,,,ул Косинская,Вешняки
3188,"город Москва, улица Молостовых, дом 10Б",,Ивановское,,,ул Молостовых,Ивановское
3189,"город Москва, улица Молостовых, дом 3, корпус 2",Восточный,Ивановское,55.7626735,37.8348859,ул Молостовых,
3190,"город Москва, Снайперская улица, дом 4А",Восточный,Вешняки,55.723835,37.8116658,ул Снайперская,
3191,"город Москва, улица Плющева, дом 13А",Восточный,Перово,55.7413399,37.7624738,ул Плющева,
3192,"город Москва, 3-я Владимирская улица, дом 30А",Восточный,Перово,55.7538988,37.7866326,ул Владимирская 3-я,
3193,"город Москва, Зелёный проспект, дом 14",,Перово,,,Зелёный пр-кт,Перово
3194,"город Москва, Кетчерская улица, дом 10А",Восточный,Вешняки,55.7423906,37.827722,ул Кетчерская,
3195,"город Москва, Салтыковская улица, дом 13Б",Восточный,Новокосино,55.7377023,37.8633014,ул Салтыковская,
3196,"город Москва, Суздальская улица, дом 22Б",Восточный,Новокосино,55.7415262,37.8571484,ул Суздальская,
3197,"город Москва, улица Молостовых, дом 10А",,Ивановское,,,ул Молостовых,Ивановское
3198,"город Москва, аллея Жемчуговой, дом 7",Восточный,Вешняки,55.732894,37.8271873,Жемчуговой аллея,
3199,"город Москва, Зелёный проспект, дом 59",,Новогиреево,,,Зелёный пр-кт,Новогиреево
