,address,city_area,city_district,geo_lat,geo_lon,street_with_type,location
0,"город Москва, улица Егора Абакумова, дом 9",Северо-восточный,Ярославский,55.8789964,37.7144617,ул Егора Абакумова,
1,"город Москва, улица Талалихина, дом 2/1, корпус 1",Центральный,Таганский,55.7382978,37.6733369,ул Талалихина,
2,"город Москва, Абельмановская улица, дом 6",,Таганский,,,ул Абельмановская,Таганский
3,"город Москва, Абрамцевская улица, дом 1",,Лианозово,,,ул Абрамцевская,Лианозово
4,"город Москва, Абрамцевская улица, дом 9, корпус 1",Северо-восточный,Лианозово,55.9041256,37.572181,ул Абрамцевская,
5,"город Москва, Абрамцевская улица, дом 15, корпус 1",Северо-восточный,Лианозово,55.9067192,37.5715402,ул Абрамцевская,
6,"город Москва, переулок Сивцев Вражек, дом 6/2",,Арбат,,,пер Сивцев Вражек,Арбат
7,"город Москва, Авиамоторная улица, дом 8, строение 1",Юго-восточный,Лефортово,55.7548754,37.71555,ул Авиамоторная,
8,"город Москва, Авиамоторная улица, дом 47",Юго-восточный,Лефортово,55.7498347,37.7188719,ул Авиамоторная,
9,"город Москва, Авиамоторная улица, дом 49/1",,Лефортово,,,ул Авиамоторная,Лефортово
10,"город Москва, Авиамоторная улица, дом 51",,Лефортово,,,ул Авиамоторная,Лефортово
11,"город Москва, улица Авиаторов, дом 14",,Солнцево,,,ул Авиаторов,Солнцево
12,"город Москва, улица Авиаторов, дом 16",,Солнцево,,,ул Авиаторов,Солнцево
13,"город Москва, улица Авиаторов, дом 18",,Солнцево,,,ул Авиаторов,Солнцево
14,"город Москва, Азовская улица, дом 3",,Зюзино,,,ул Азовская,Зюзино
15,"город Москва, Азовская улица, дом 4",,Зюзино,,,ул Азовская,Зюзино
16,"город Москва, Большая Академическая улица, дом 65",,Коптево,,,ул Академическая Б.,Коптево
17,"город Москва, Филипповский переулок, дом 15/5",Центральный,Арбат,55.7506117,37.598639,Филипповский пер,
18,"город Москва, Алтайская улица, дом 33/7",,Гольяново,,,ул Алтайская,Гольяново
19,"город Москва, Алтуфьевское шоссе, дом 14",,Отрадное,,,Алтуфьевское шоссе,Отрадное
20,"город Москва, Алтуфьевское шоссе, дом 42Б",Северо-восточный,Отрадное,55.8729175,37.5891345,Алтуфьевское шоссе,
21,"город Москва, Алтуфьевское шоссе, дом 56",,Алтуфьевский,,,Алтуфьевское шоссе,Алтуфьевский
22,"город Москва, Алтуфьевское шоссе, дом 102Б",Северо-восточный,Бибирево,55.9042022,37.5913567,Алтуфьевское шоссе,
23,"город Москва, улица Амундсена, дом 10",,Свиблово,,,ул Амундсена,Свиблово
24,"город Москва, Анадырский проезд, дом 55",Северо-восточный,Лосиноостровский,55.8781707,37.7051722,Анадырский проезд,
25,"город Москва, Ангарская улица, дом 1, корпус 2",Северный,Западное Дегунино,55.8717929,37.5099618,ул Ангарская,
26,"город Москва, Ангарская улица, дом 39",Северный,Дмитровский,55.87919,37.524423,ул Ангарская,
27,"город Москва, проспект Андропова, дом 17, корпус 2",Южный,Нагатинский Затон,55.683317,37.6681513,пр-кт Андропова,
28,"город Москва, проспект Андропова, дом 26",,Нагатино-Садовники,,,пр-кт Андропова,Нагатино-Садовники
29,"город Москва, проспект Андропова, дом 30",,Нагатино-Садовники,,,пр-кт Андропова,Нагатино-Садовники
30,"город Москва, проспект Андропова, дом 35А",Южный,Нагатинский Затон,55.6734895,37.6648106,пр-кт Андропова,
31,"город Москва, проспект Андропова, дом 38, корпус 2",Южный,Нагатино-Садовники,55.674395,37.6596995,пр-кт Андропова,
32,"город Москва, улица Арбат, дом 4, строение 1",Центральный,Арбат,55.7519271,37.5983563,ул Арбат,
33,"город Москва, улица Арбат, дом 6/2",,Арбат,,,ул Арбат,Арбат
34,"город Москва, улица Арбат, дом 23, строение 1",Центральный,Арбат,55.7505052,37.5953612,ул Арбат,
35,"город Москва, улица Арбат, дом 25/36",Центральный,Арбат,55.7500914,37.5946787,ул Арбат,
36,"город Москва, улица Арбат, дом 29",,Арбат,,,ул Арбат,Арбат
37,"город Москва, улица Арбат, дом 31",,Арбат,,,ул Арбат,Арбат
38,"город Москва, улица Арбат, дом 32",,Арбат,,,ул Арбат,Арбат
39,"город Москва, улица Арбат, дом 36/2, строение 1",Центральный,Арбат,55.7487998,37.5888047,ул Арбат,
40,"город Москва, улица Арбат, дом 45/24",Центральный,Арбат,55.7482511,37.5881686,ул Арбат,
41,"город Москва, улица Арбат, дом 47/23",Центральный,Арбат,55.7481572,37.587556,ул Арбат,
42,"город Москва, улица Артамонова, дом 7",,Фили-Давыдково,,,ул Артамонова,Фили-Давыдково
43,"город Москва, Астраханский переулок, дом 1/15",,Мещанский,,,Астраханский пер,Мещанский
44,"город Москва, Астраханский переулок, дом 5/9",Центральный,Мещанский,55.7787612,37.6395483,Астраханский пер,
45,"город Москва, Аэродромная улица, дом 9",,Южное Тушино,,,ул Аэродромная,Южное Тушино
46,"город Москва, Бабаевская улица, дом 3",,Сокольники,,,ул Бабаевская,Сокольники
47,"город Москва, улица Ивана Бабушкина, дом 15, корпус 1-2",Юго-западный,Академический,55.6850668,37.5622507,ул Ивана Бабушкина,
48,"город Москва, улица Ивана Бабушкина, дом 17, корпус 1",Юго-западный,Академический,55.6846697,37.5612921,ул Ивана Бабушкина,
49,"город Москва, Байкальская улица, дом 29",Восточный,Гольяново,55.8177618,37.8071743,ул Байкальская,
50,"город Москва, Байкальская улица, дом 31",Восточный,Гольяново,55.8175335,37.8084583,ул Байкальская,
51,"город Москва, Бакинская улица, дом 29",,,,,ул Бакинская,
52,"город Москва, Балаклавский проспект, дом 48, корпус 1",Юго-западный,Зюзино,55.6484944,37.5711691,Балаклавский пр-кт,
53,"город Москва, Балаклавский проспект, дом 54",,Зюзино,,,Балаклавский пр-кт,Зюзино
54,"город Москва, 1-й Балтийский переулок, дом 3/25",Северный,Аэропорт,55.8105261,37.5188475,пер Балтийский 1-й,
55,"город Москва, улица Барклая, дом 16, корпус 1",Западный,Филевский парк,55.7458863,37.496602,ул Барклая,
56,"город Москва, Новая Басманная улица, дом 12, строение 2",Центральный,Басманный,55.7689738,37.6571772,ул Басманная Нов.,
57,"город Москва, Бауманская улица, дом 33/2, строение 1",Центральный,Басманный,55.7727853,37.6786673,ул Бауманская,
58,"город Москва, Бауманская улица, дом 35/1",,Басманный,,,ул Бауманская,Басманный
59,"город Москва, Татарская улица, дом 14",,улица Димитрова,,,ул Татарская,улица Димитрова
60,"город Москва, Башиловская улица, дом 3, корпус 1",Северный,Савеловский,55.7940883,37.5763982,ул Башиловская,
61,"город Москва, Башиловская улица, дом 19",,Савёловский,,,ул Башиловская,Савёловский
62,"город Москва, Башиловская улица, дом 21",,Савёловский,,,ул Башиловская,Савёловский
63,"город Москва, Беговая улица, дом 7",,Беговой,,,ул Беговая,Беговой
64,"город Москва, Беговая улица, дом 17, корпус 1",Северный,Беговой,55.7815473,37.5596986,ул Беговая,
65,"город Москва, Беговая улица, дом 28",,Беговой,,,ул Беговая,Беговой
66,"город Москва, улица Демьяна Бедного, дом 4",,Хорошёво-Мнёвники,,,ул Демьяна Бедного,Хорошёво-Мнёвники
67,"город Москва, Белореченская улица, дом 13, корпус 1",Юго-восточный,Люблино,55.6733406,37.7671652,ул Белореченская,
68,"город Москва, Белореченская улица, дом 17",Юго-восточный,Люблино,55.6725767,37.767105,ул Белореченская,
69,"город Москва, Бережковская набережная, дом 8",,Дорогомилово,,,Бережковская наб,Дорогомилово
70,"город Москва, Бережковская набережная, дом 14",,Дорогомилово,,,Бережковская наб,Дорогомилово
71,"город Москва, улица Берзарина, дом 8",,Щукино,,,ул Берзарина,Щукино
72,"город Москва, Бескудниковский бульвар, дом 40, корпус 3",Северный,Бескудниковский,55.8740678,37.5512582,Бескудниковский б-р,
73,"город Москва, Бескудниковский бульвар, дом 57, корпус 1",Северный,Бескудниковский,55.8724139,37.5388564,Бескудниковский б-р,
74,"город Москва, улица Бестужевых, дом 23",,Отрадное,,,ул Бестужевых,Отрадное
75,"город Москва, Бибиревская улица, дом 7, корпус 1",Северо-восточный,Алтуфьевский,55.8802782,37.5930526,ул Бибиревская,
76,"город Москва, улица Маршала Бирюзова, дом 4, корпус 1",Северо-западный,Щукино,55.790757,37.499579,ул Маршала Бирюзова,
77,"город Москва, улица Маршала Бирюзова, дом 4, корпус 2",Северо-западный,Щукино,55.791046,37.500953,ул Маршала Бирюзова,
78,"город Москва, улица Маршала Бирюзова, дом 9",Северо-западный,Щукино,55.79144,37.496345,ул Маршала Бирюзова,
79,"город Москва, улица Маршала Бирюзова, дом 12",Северо-западный,Щукино,55.793328,37.494458,ул Маршала Бирюзова,
80,"город Москва, улица Маршала Бирюзова, дом 13",,Щукино,,,ул Маршала Бирюзова,Щукино
81,"город Москва, улица Маршала Бирюзова, дом 16",Северо-западный,Щукино,55.794593,37.492051,ул Маршала Бирюзова,
82,"город Москва, улица Маршала Бирюзова, дом 19",Северо-западный,Щукино,55.794366,37.491143,ул Маршала Бирюзова,
83,"город Москва, улица Маршала Бирюзова, дом 21",,Щукино,,,ул Маршала Бирюзова,Щукино
84,"город Москва, улица Маршала Бирюзова, дом 22, корпус 1",Северо-западный,Щукино,55.79599,37.48958,ул Маршала Бирюзова,
85,"город Москва, улица Маршала Бирюзова, дом 28",Северо-западный,Щукино,55.797387,37.486661,ул Маршала Бирюзова,
86,"город Москва, Бойцовая улица, дом 17, корпус 1",Восточный,Богородское,55.8116692,37.7183006,ул Бойцовая,
87,"город Москва, Болотниковская улица, дом 47, корпус 1",Юго-западный,Зюзино,55.6617075,37.5831835,ул Болотниковская,
88,"город Москва, Коктебельская улица, дом 11, строение 3",Юго-западный,Северное Бутово,55.5637825,37.585041,ул Коктебельская,
89,"город Москва, Ботаническая улица, дом 11",,Марфино,,,ул Ботаническая,Марфино
90,"город Москва, 1-й Боткинский проезд, дом 2/6",Северный,Беговой,55.7816122,37.5560082,проезд Боткинский 1-й,
91,"город Москва, улица Академика Бочвара, дом 7, корпус 1",Северо-западный,Щукино,55.8060522,37.4618247,ул Академика Бочвара,
92,"город Москва, улица Бочкова, дом 5",,Останкинский,,,ул Бочкова,Останкинский
93,"город Москва, 2-я Брестская улица, дом 24/15",,Тверской,,,ул Брестская 2-я,Тверской
94,"город Москва, 2-я Брестская улица, дом 43",,Тверской,,,ул Брестская 2-я,Тверской
95,"город Москва, Бригадирский переулок, дом 3-5",,Басманный,,,Бригадирский пер,Басманный
96,"город Москва, Большая Бронная улица, дом 2/6",Центральный,Пресненский,55.7600654,37.5973821,ул Бронная Б.,
97,"город Москва, Большая Бронная улица, дом 27/4",Центральный,Тверской,55.7643172,37.6026265,ул Бронная Б.,
98,"город Москва, Большая Бронная улица, дом 29",,Тверской,,,ул Бронная Б.,Тверской
99,"город Москва, Малая Бронная улица, дом 4",,Москва,,,ул Бронная М.,Москва
100,"город Москва, Малая Бронная улица, дом 10, строение 1",Центральный,Пресненский,55.7606165,37.5967,ул Бронная М.,
101,"город Москва, Малая Бронная улица, дом 20, строение 1",Центральный,Пресненский,55.7623592,37.595706,ул Бронная М.,
102,"город Москва, Малая Бронная улица, дом 20А",Центральный,Пресненский,55.7625433,37.5964512,ул Бронная М.,
103,"город Москва, Малая Бронная улица, дом 21/13, строение 1",Центральный,Пресненский,55.7627158,37.594888,ул Бронная М.,
104,"город Москва, Малая Бронная улица, дом 22, строение 1",Центральный,Пресненский,55.762675,37.5952291,ул Бронная М.,
105,"город Москва, Малая Бронная улица, дом 27/14",Центральный,Пресненский,55.7633122,37.5939513,ул Бронная М.,
106,"город Москва, Будайская улица, дом 3",,Ростокино,,,ул Будайская,Ростокино
107,"город Москва, проспект Будённого, дом 1/1",,Соколиная Гора,,,пр-кт Будённого,Соколиная Гора
108,"город Москва, проспект Будённого, дом 24, корпус 1",Восточный,Соколиная Гора,55.7652017,37.7318519,пр-кт Будённого,
109,"город Москва, Булатниковская улица, дом 5, корпус 4",Южный,Бирюлево Западное,55.5789865,37.6510052,ул Булатниковская,
110,"город Москва, улица Бутлерова, дом 22",,Коньково,,,ул Бутлерова,Коньково
111,"город Москва, Бутырская улица, дом 7",,Савёловский,,,ул Бутырская,Савёловский
112,"город Москва, Бутырская улица, дом 9, корпус 2",Северный,Савеловский,55.7949203,37.5837954,ул Бутырская,
113,"город Москва, Бутырская улица, дом 11",,Савёловский,,,ул Бутырская,Савёловский
114,"город Москва, Бутырская улица, дом 79",,Савёловский,,,ул Бутырская,Савёловский
115,"город Москва, Бутырская улица, дом 84",,Бутырский,,,ул Бутырская,Бутырский
116,"город Москва, Бутырская улица, дом 89",,Савёловский,,,ул Бутырская,Савёловский
117,"город Москва, улица Вавилова, дом 72/13",,Ломоносовский,,,ул Вавилова,Ломоносовский
118,"город Москва, улица Вавилова, дом 81",,Ломоносовский,,,ул Вавилова,Ломоносовский
119,"город Москва, Нахимовский проспект, владение 75А",Юго-западный,Ломоносовский,55.6835026,37.5527533,Нахимовский пр-кт,
120,"город Москва, Валовая улица, дом 2-4/44, строение 1",Центральный,Замоскворечье,55.7312241,37.6348988,ул Валовая,
121,"город Москва, Валовая улица, дом 6",,Замоскворечье,,,ул Валовая,Замоскворечье
122,"город Москва, Валовая улица, дом 8/18",,Замоскворечье,,,ул Валовая,Замоскворечье
123,"город Москва, Валовая улица, дом 11/19",,Замоскворечье,,,ул Валовая,Замоскворечье
124,"город Москва, Варсонофьевский переулок, дом 6",,Мещанский,,,Варсонофьевский пер,Мещанский
125,"город Москва, Варшавское шоссе, дом 2",,Донской,,,Варшавское шоссе,
126,"город Москва, Варшавское шоссе, дом 7, корпус 1",Южный,Донской,55.700877,37.622405,Варшавское шоссе,
127,"город Москва, Варшавское шоссе, дом 29",,Донской,,,Варшавское шоссе,
128,"город Москва, Варшавское шоссе, дом 72, корпус 2",Южный,Нагорный,55.656869,37.618758,Варшавское шоссе,
129,"город Москва, Варшавское шоссе, дом 100",Южный,Нагорный,55.646061,37.618902,Варшавское шоссе,
130,"город Москва, Варшавское шоссе, дом 143А",,Чертаново Южное,,,Варшавское шоссе,
131,"город Москва, улица Маршала Василевского, дом 3, корпус 1",Северо-западный,Щукино,55.8032129,37.473136,ул Маршала Василевского,
132,"город Москва, улица Маршала Василевского, дом 11, корпус 1",Северо-западный,Щукино,55.8056221,37.4684622,ул Маршала Василевского,
133,"город Москва, улица Маршала Василевского, дом 17",,Щукино,,,ул Маршала Василевского,Щукино
134,"город Москва, Васильевская улица, дом 2, корпус 1",Центральный,Пресненский,55.7697319,37.5857383,ул Васильевская,
135,"город Москва, Васильевская улица, дом 4",,осквА,,,ул Васильевская,осквА
136,"город Москва, Велозаводская улица, дом 6",,Даниловский,,,ул Велозаводская,Даниловский
137,"город Москва, Вельяминовская улица, дом 6",,Соколиная Гора,,,ул Вельяминовская,Соколиная Гора
138,"город Москва, проспект Вернадского, дом 9/10",Юго-западный,Гагаринский,55.6894912,37.5314479,пр-кт Вернадского,
139,"город Москва, проспект Вернадского, дом 11/19",Юго-западный,Ломоносовский,55.688741,37.5287928,пр-кт Вернадского,
140,"город Москва, проспект Вернадского, дом 13",,Ломоносовский,,,пр-кт Вернадского,
141,"город Москва, улица Кравченко, дом 24/35",Юго-западный,Ломоносовский,55.6800451,37.5135241,ул Кравченко,
142,"город Москва, проспект Вернадского, дом 37",,Проспект Вернадского,,,пр-кт Вернадского,
143,"город Москва, проспект Вернадского, дом 86, строение 1",Западный,Тропарево-Никулино,55.6604384,37.4745984,пр-кт Вернадского,
144,"город Москва, проспект Вернадского, дом 93",,Проспект Вернадского,,,пр-кт Вернадского,
145,"город Москва, проспект Вернадского, дом 97, корпус 1",Западный,Тропарево-Никулино,55.6671211,37.491379,пр-кт Вернадского,
146,"город Москва, проспект Вернадского, дом 103, корпус 1",Западный,Тропарево-Никулино,55.6633678,37.4927574,пр-кт Вернадского,
147,"город Москва, проспект Вернадского, дом 125",,Тропарёво-Никулино,,,пр-кт Вернадского,
148,"город Москва, Верхняя улица, дом 3, корпус 2",Северный,Беговой,55.776805,37.5748787,ул Верхняя,
149,"город Москва, Весковский переулок, дом 4",Центральный,Тверской,55.7784265,37.599651,Весковский пер,
150,"город Москва, Глазовский переулок, дом 5",,Арбат,,,Глазовский пер,Арбат
151,"город Москва, улица Вешних Вод, дом 6, корпус 1",Северо-восточный,Ярославский,55.859424,37.6976197,ул Вешних Вод,
152,"город Москва, улица Вешних Вод, дом 8, корпус 2",Северо-восточный,Ярославский,55.8593671,37.6994915,ул Вешних Вод,
153,"город Москва, Вешняковская улица, дом 2",,Вешняки,,,ул Вешняковская,Вешняки
154,"город Москва, улица Вилиса Лациса, дом 23, корпус 1",Северо-западный,Северное Тушино,55.8628349,37.4203113,ул Вилиса Лациса,
155,"город Москва, улица Вилиса Лациса, дом 33, корпус 1",Северо-западный,Северное Тушино,55.8598486,37.409579,ул Вилиса Лациса,
156,"город Москва, 1-я Владимирская улица, дом 9",,Перово,,,ул Владимирская 1-я,Перово
157,"город Москва, 1-я Владимирская улица, дом 14",,Перово,,,ул Владимирская 1-я,Перово
158,"город Москва, 1-я Владимирская улица, дом 21",,Перово,,,ул Владимирская 1-я,Перово
159,"город Москва, 1-я Владимирская улица, дом 39/12",Восточный,Перово,55.7495437,37.7805131,ул Владимирская 1-я,
160,"город Москва, 2-я Владимирская улица, дом 22",,Перово,,,ул Владимирская 2-я,Перово
161,"город Москва, 2-я Владимирская улица, дом 36",,Перово,,,ул Владимирская 2-я,Перово
162,"город Москва, 2-я Владимирская улица, дом 44/10",,Перово,,,ул Владимирская 2-я,Перово
163,"город Москва, 2-я Владимирская улица, дом 52, корпус 2",Восточный,Перово,55.7462919,37.7867885,ул Владимирская 2-я,
164,"город Москва, 3-я Владимирская улица, дом 6",,Перово,,,ул Владимирская 3-я,Перово
165,"город Москва, 3-я Владимирская улица, дом 27",,Новогиреево,,,ул Владимирская 3-я,Новогиреево
166,"город Москва, 3-я Владимирская улица, дом 29",Восточный,Перово,55.7535098,37.7915913,ул Владимирская 3-я,
167,"город Москва, улица Архитектора Власова, дом 11, корпус 1",Юго-западный,Черемушки,55.6786387,37.5527225,ул Архитектора Власова,
168,"город Москва, улица Архитектора Власова, дом 47",Юго-западный,Обручевский,55.666519,37.5437582,ул Архитектора Власова,
169,"город Москва, улица Академика Волгина, дом 6",,Обручевский,,,ул Академика Волгина,Обручевский
170,"город Москва, улица Академика Волгина, дом 29, корпус 1",Юго-западный,Коньково,55.6436074,37.5079385,ул Академика Волгина,
171,"город Москва, Волгоградский проспект, дом 4",,Таганский,,,Волгоградский пр-кт,Таганский
172,"город Москва, Волгоградский проспект, дом 15",,Таганский,,,Волгоградский пр-кт,Таганский
173,"город Москва, Волгоградский проспект, дом 17, строение 1",Центральный,Таганский,55.728951,37.6800311,Волгоградский пр-кт,
174,"город Москва, Волгоградский проспект, дом 17",,Таганский,,,Волгоградский пр-кт,Таганский
175,"город Москва, Волгоградский проспект, дом 66, корпус 4",Юго-восточный,Кузьминки,55.7045383,37.756902,Волгоградский пр-кт,
176,"город Москва, Волгоградский проспект, дом 103, корпус 6",Юго-восточный,Кузьминки,55.7095982,37.7570954,Волгоградский пр-кт,
177,"город Москва, Волгоградский проспект, дом 157, корпус 4",Юго-восточный,Кузьминки,55.7054383,37.7871974,Волгоградский пр-кт,
178,"город Москва, Ферганская улица, дом 12",Юго-восточный,Выхино-Жулебино,55.7079682,37.8087692,ул Ферганская,
179,"город Москва, Волоколамское шоссе, дом 3",,Сокол,,,Волоколамское шоссе,Сокол
180,"город Москва, Волоколамское шоссе, дом 13",,Сокол,,,Волоколамское шоссе,Сокол
181,"город Москва, Волоколамское шоссе, дом 15/22",,Сокол,,,Волоколамское шоссе,Сокол
182,"город Москва, Волоколамское шоссе, дом 92",,Покровское-Стрешнево,,,Волоколамское шоссе,Покровское-Стрешнево
183,"город Москва, улица Волхонка, дом 6",,Москва,,,ул Волхонка,Москва
184,"город Москва, улица Волхонка, дом 7/6",,Москва,,,ул Волхонка,Москва
185,"город Москва, Воронежская улица, дом 26, корпус 4",Южный,Орехово-Борисово Южное,55.6083353,37.7369197,ул Воронежская,
186,"город Москва, Воронцовская улица, дом 13/14, строение 3",Центральный,Таганский,55.7396385,37.6577209,ул Воронцовская,
187,"город Москва, Воронцовская улица, дом 36, строение 1",Центральный,Таганский,55.7343372,37.6615082,ул Воронцовская,
188,"город Москва, Воронцовская улица, дом 48",Центральный,Таганский,55.7326151,37.6637271,ул Воронцовская,
189,"город Москва, Воротниковский переулок, дом 11, строение 1",Центральный,Тверской,55.7703505,37.6012732,Воротниковский пер,
190,"город Москва, Кудринская площадь, дом 1",,Москва,,,Кудринская пл,Москва
191,"город Москва, улица 8 Марта, дом 15",,Головинский,,,ул 8 Марта,Головинский
192,"город Москва, 2-й Вышеславцев переулок, дом 17",Северо-восточный,Марьина роща,55.7905957,37.6060191,пер Вышеславцев 2-й,
193,"город Москва, улица Бориса Галушкина, дом 5",,Алексеевский,,,ул Бориса Галушкина,Алексеевский
194,"город Москва, улица Бориса Галушкина, дом 10",,Алексеевский,,,ул Бориса Галушкина,Алексеевский
195,"город Москва, улица Бориса Галушкина, дом 26",Северо-восточный,Алексеевский,55.8204798,37.6650243,ул Бориса Галушкина,
196,"город Москва, улица Гастелло, дом 37",,Сокольники,,,ул Гастелло,Сокольники
197,"город Москва, Гвардейская улица, дом 15, корпус 1",Западный,Можайский,55.7248734,37.4232738,ул Гвардейская,
198,"город Москва, улица Героев Панфиловцев, дом 1, корпус 1",Северо-западный,Северное Тушино,55.8523315,37.4371602,ул Героев Панфиловцев,
199,"город Москва, улица Героев Панфиловцев, дом 13, корпус 1",Северо-западный,Северное Тушино,55.8576044,37.4287299,ул Героев Панфиловцев,
200,"город Москва, улица Героев Панфиловцев, дом 16, корпус 1",Северо-западный,Северное Тушино,55.8587363,37.4243639,ул Героев Панфиловцев,
201,"город Москва, улица Героев Панфиловцев, дом 51",,Северное Тушино,,,ул Героев Панфиловцев,Северное Тушино
202,"город Москва, Большая Никитская улица, дом 24/1, строение 1",Центральный,Пресненский,55.757355,37.6014102,ул Никитская Б.,
203,"город Москва, Большая Никитская улица, дом 35",Центральный,Пресненский,55.7573621,37.5951005,ул Никитская Б.,
204,"город Москва, улица Гиляровского, дом 17",Центральный,Мещанский,55.7765574,37.6301038,ул Гиляровского,
205,"город Москва, улица Гиляровского, дом 60, строение 1",Центральный,Мещанский,55.7875144,37.6329556,ул Гиляровского,
206,"город Москва, Глебовская улица, дом 10",,Богородское,,,ул Глебовская,Богородское
207,"город Москва, Большой Гнездниковский переулок, дом 10",Центральный,Тверской,55.7629963,37.6057865,пер Гнездниковский Б.,
208,"город Москва, Малый Гнездниковский переулок, дом 9, строение 7",Центральный,Тверской,55.7628006,37.6065755,пер Гнездниковский М.,
209,"город Москва, Гоголевский бульвар, дом 8",,Москва,,,Гоголевский б-р,Москва
210,"город Москва, Гоголевский бульвар, дом 23",Центральный,Арбат,55.7478885,37.5989593,Гоголевский б-р,
211,"город Москва, Гоголевский бульвар, дом 25, строение 1",Центральный,Арбат,55.7483576,37.5991813,Гоголевский б-р,
212,"город Москва, Гоголевский бульвар, дом 33/1",Центральный,Арбат,55.7508038,37.5999133,Гоголевский б-р,
213,"город Москва, улица Маршала Голованова, дом 19",Юго-восточный,Марьино,55.6439933,37.7308776,ул Маршала Голованова,
214,"город Москва, Городецкая улица, дом 3",,Новокосино,,,ул Городецкая,Новокосино
215,"город Москва, Тверская улица, дом 6, строение 1",Центральный,Тверской,55.7601961,37.6113936,ул Тверская,
216,"город Москва, Тверская улица, дом 12, строение 1",Центральный,Тверской,55.7633777,37.6079013,ул Тверская,
217,"город Москва, Тверская улица, дом 12, строение 2",Центральный,Тверской,55.7636675,37.6074222,ул Тверская,
218,"город Москва, Тверская улица, дом 12, строение 7",Центральный,Тверской,55.7641013,37.6086045,ул Тверская,
219,"город Москва, Тверская улица, дом 12, строение 8",Центральный,Тверской,55.7638346,37.6092805,ул Тверская,
220,"город Москва, Тверская улица, дом 14",,осква,,,ул Тверская,осква
221,"город Москва, Тверская улица, дом 15",,Тверской,,,ул Тверская,Тверской
222,"город Москва, Тверская улица, дом 17",,Тверской,,,ул Тверская,Тверской
223,"город Москва, Тверская улица, дом 19",,осква,,,ул Тверская,осква
224,"город Москва, Тверская улица, дом 19А",Центральный,Тверской,55.7657115,37.6027644,ул Тверская,
225,"город Москва, Тверская улица, дом 27, строение 1",Центральный,Тверской,55.7682502,37.5983086,ул Тверская,
226,"город Москва, Тверская улица, дом 27, строение 2",Центральный,Тверской,55.7686194,37.5974507,ул Тверская,
227,"город Москва, Тверская улица, дом 30/2, строение 1",Центральный,Тверской,55.7697472,37.5977403,ул Тверская,
228,"город Москва, 1-я Тверская-Ямская улица, дом 4",,Тверской,,,ул Тверская-Ямская 1-я,Тверской
229,"город Москва, 1-я Тверская-Ямская улица, дом 7",,Тверской,,,ул Тверская-Ямская 1-я,Тверской
230,"город Москва, 1-я Тверская-Ямская улица, дом 9",Центральный,Тверской,55.7720723,37.5919033,ул Тверская-Ямская 1-я,
231,"город Москва, 1-я Тверская-Ямская улица, дом 8",Центральный,Тверской,55.7718453,37.5936022,ул Тверская-Ямская 1-я,
232,"город Москва, 1-я Тверская-Ямская улица, дом 11",,Тверской,,,ул Тверская-Ямская 1-я,Тверской
233,"город Москва, 1-я Тверская-Ямская улица, дом 13, строение 1",Центральный,Тверской,55.7733638,37.5898373,ул Тверская-Ямская 1-я,
234,"город Москва, 1-я Тверская-Ямская улица, дом 12",,Тверской,,,ул Тверская-Ямская 1-я,Тверской
235,"город Москва, улица Госпитальный Вал, дом 22/2",Юго-восточный,Лефортово,55.7736839,37.7118501,ул Госпитальный Вал,
236,"город Москва, улица Чаянова, дом 12",,Тверской,,,ул Чаянова,Тверской
237,"город Москва, Кутузовский проспект, дом 71",,Фили-Давыдково,,,Кутузовский пр-кт,
238,"город Москва, Большая Грузинская улица, дом 39",,Пресненский,,,ул Грузинская Б.,Пресненский
239,"город Москва, улица Грузинский Вал, дом 26, строение 1",Центральный,Пресненский,55.7745444,37.581708,ул Грузинский Вал,
240,"город Москва, улица Грузинский Вал, дом 28/45",Центральный,Пресненский,55.7749812,37.582974,ул Грузинский Вал,
241,"город Москва, Грузинский переулок, дом 4",Центральный,Пресненский,55.7714451,37.5823149,Грузинский пер,
242,"город Москва, Грузинский переулок, дом 14",Центральный,Пресненский,55.7736223,37.5800396,Грузинский пер,
243,"город Москва, Гурьевский проезд, дом 25, корпус 1",Южный,Орехово-Борисово Южное,55.6080432,37.7548965,Гурьевский проезд,
244,"город Москва, Гурьевский проезд, дом 31, корпус 1",Южный,Орехово-Борисово Южное,55.6093345,37.7582183,Гурьевский проезд,
245,"город Москва, Даев переулок, дом 2",,Красносельский,,,пер Даев,Красносельский
246,"город Москва, улица 26-ти Бакинских Комиссаров, дом 7, корпус 6",Западный,Тропарево-Никулино,55.6554993,37.4847571,ул 26-ти Бакинских Комиссаров,
247,"город Москва, улица Девятая Рота, дом 14",,Преображенское,,,ул Девятая Рота,Преображенское
248,"город Москва, проезд Дежнёва, дом 11, корпус 1",Северо-восточный,Южное Медведково,55.8702254,37.6431763,проезд Дежнёва,
249,"город Москва, улица Мусы Джалиля, дом 4, корпус 6",Южный,Зябликово,55.6287015,37.740627,ул Мусы Джалиля,
250,"город Москва, улица Большая Лубянка, дом 26/17, строение 1",Центральный,Красносельский,55.7656574,37.6314958,ул Лубянка Б.,
251,"город Москва, улица Большая Якиманка, дом 19",Центральный,Якиманка,55.7373576,37.6155738,ул Якиманка Б.,
252,"город Москва, улица Большая Якиманка, дом 32",,Якиманка,,,ул Якиманка Б.,Якиманка
